STATE_PUMA,CONTAINS
02|||00300,Southeast Fairbanks Census Area
02|||00300,Tanacross CDP
02|||00300,Tatitlek CDP
02|||00300,Tazlina CDP
02|||00300,Tetlin CDP
02|||00300,Tok CDP
02|||00300,Tolsona CDP
02|||00300,Tonsina CDP
02|||00300,Two Rivers CDP
02|||00300,Valdez City
02|||00300,Valdez-Cordova Census Area
02|||00300,Whittier City
02|||00300,Willow Creek CDP
02|||00400,Adak CDP
02|||00400,Akhiok City
02|||00400,Akiachak CDP
02|||00400,Akiak City
02|||00400,Akutan City
02|||00400,Alakanuk City
02|||00400,Alatna CDP
02|||00400,Aleknagik City
02|||00400,Aleneva CDP
02|||00400,Aleutians East Borough
02|||00400,Aleutians West Census Area
02|||00400,Allakaket City
02|||00400,Alpine CDP
02|||00400,Ambler City
02|||00400,Anaktuvuk Pass City
02|||00400,Angoon City
02|||00400,Aniak City
02|||00400,Anvik City
02|||00400,Arctic Village CDP
02|||00400,Atka City
02|||00400,Atmautluak CDP
02|||00400,Atqasuk City
02|||00400,Attu Station CDP
02|||00400,Barrow City
02|||00400,Beaver CDP
02|||00400,Bethel Census Area
02|||00400,Bethel City
02|||00400,Bettles City
02|||00400,Birch Creek CDP
02|||00400,Brevig Mission City
02|||00400,Bristol Bay Borough
02|||00400,Buckland City
02|||00400,Central CDP
02|||00400,Chalkyitsik CDP
02|||00400,Chefornak City
02|||00400,Chevak City
02|||00400,Chignik City
02|||00400,Chignik Lagoon CDP
02|||00400,Chignik Lake CDP
02|||00400,Chiniak CDP
02|||00400,Chuathbaluk City
02|||00400,Circle CDP
02|||00400,Clark's Point City
02|||00400,Coffman Cove City
02|||00400,Cold Bay City
02|||00400,Coldfoot CDP
02|||00400,Craig City
02|||00400,Crooked Creek CDP
02|||00400,Cube Cove CDP
02|||00400,Deering City
02|||00400,Dillingham Census Area
02|||00400,Dillingham City
02|||00400,Diomede City
02|||00400,Edna Bay CDP
02|||00400,Eek City
02|||00400,Egegik City
02|||00400,Ekwok City
02|||00400,Elfin Cove CDP
02|||00400,Elim City
02|||00400,Emmonak City
02|||00400,Evansville CDP
02|||00400,False Pass City
02|||00400,Flat CDP
02|||00400,Fort Yukon City
02|||00400,Four Mile Road CDP
02|||00400,Galena City
02|||00400,Gambell City
02|||00400,Game Creek CDP
02|||00400,Golovin City
02|||00400,Goodnews Bay City
02|||00400,Grayling City
02|||00400,Gustavus CDP
02|||00400,Hobart Bay CDP
02|||00400,Hollis CDP
02|||00400,Holy Cross City
02|||00400,Hoonah City
02|||00400,Hooper Bay City
02|||00400,Hughes City
02|||00400,Huslia City
02|||00400,Hydaburg City
02|||00400,Hyder CDP
02|||00400,Igiugig CDP
02|||00400,Iliamna CDP
02|||00400,Ivanof Bay CDP
02|||00400,Kake City
02|||00400,Kaktovik City
02|||00400,Kaltag City
02|||00400,Karluk CDP
02|||00400,Kasaan City
02|||00400,Kasigluk CDP
02|||00400,Kiana City
02|||00400,King Cove City
02|||00400,King Salmon CDP
02|||00400,Kipnuk CDP
02|||00400,Kivalina City
02|||00400,Klawock City
02|||00400,Klukwan CDP
02|||00400,Kobuk City
02|||00400,Kodiak City
02|||00400,Kodiak Island Borough
02|||00400,Kodiak  Station CDP
02|||00400,Kokhanok CDP
02|||00400,Koliganek CDP
02|||00400,Kongiganak CDP
02|||00400,Kotlik City
02|||00400,Kotzebue City
02|||00400,Koyuk City
02|||00400,Koyukuk City
02|||00400,Kupreanof City
02|||00400,Kwethluk City
