Year,Fips,Data
2009,18019,11.9
2009,18021,14
2009,18023,12.5
2009,18025,19
2009,18027,15.6
2009,18029,8.9
2009,18031,12
2009,18033,9.6
2009,18035,20.7
2009,18037,7.2
2009,18039,14.4
2009,18041,17.8
2009,18043,12.3
2009,18045,13
2009,18047,10.9
2009,18049,11.9
2009,18051,11.4
2009,18053,18.1
2009,18055,16.6
2009,18057,5.6
2009,18059,6.5
2009,18061,9.8
2009,18063,5.1
2009,18065,15
2009,18067,15.1
2009,18069,10.5
2009,18071,13.3
2009,18073,9.6
2009,18075,16
2009,18077,13.6
2009,18079,15.8
2009,18081,9.7
2009,18083,17.8
2009,18085,10.8
2009,18087,13.2
2009,18089,16.4
2009,18091,14.5
2009,18093,15.4
2009,18095,14.7
2009,18097,19.7
2009,18099,13.6
2009,18101,13.5
2009,18103,17
2009,18105,21.9
2009,18107,13.6
2009,18109,10.2
2009,18111,11
2009,18113,13.9
2009,18115,10.2
2009,18117,16.9
2009,18119,14.3
2009,18121,15.7
2009,18123,12
2009,18125,11.8
2009,18127,7.6
2009,18129,8.4
2009,18131,13.1
2009,18133,13.1
2009,18135,17.5
2009,18137,11.8
2009,18139,13.6
2009,18141,16.4
2009,18143,16.6
2009,18145,12.4
2009,18147,10
2009,18149,13.8
2009,18151,13.6
2009,18153,17.1
2009,18155,17.2
2009,18157,20.9
2009,18159,9.1
2009,18161,13.8
2009,18163,15.2
2009,18165,15.4
2009,18167,20.9
2009,18169,13.9
2009,18171,8.8
2009,18173,8
2009,18175,15.5
2009,18177,19.9
2009,18179,9.3
2009,18181,10.8
2009,18183,8
2009,19000,11.8
2009,19001,10.7
2009,19003,12.4
2009,19005,14.1
2009,19007,19.3
2009,19009,10
2009,19011,7.9
2009,19013,17.3
2009,19015,8.2
2009,19017,7.5
2009,19019,10.9
2009,19021,15.2
2009,19023,10.3
2009,19025,11.2
2009,19027,9.8
2009,19029,13.1
2009,19031,7.9
2009,19033,10.6
2009,19035,9.7
2009,19037,9.3
2009,19039,12
2009,19041,9
2009,19043,11.3
2009,19045,11.9
2009,19047,12.3
2009,19049,6
2009,19051,14.9
2009,19053,21.1
2009,19055,9.3
2009,19057,12.8
2009,19059,8.4
2009,19061,9.5
2009,19063,11.3
2009,19065,12.9
2009,19067,12.6
2009,19069,10.2
2009,19071,10.4
2009,19073,11.3
2009,19075,6.3
2009,19077,9.2
2009,19079,9.2
2009,19081,9.2
2009,19083,9.8
2009,19085,10.6
2009,19087,15.8
2009,19089,11.6
2009,19091,10.1
2009,19093,11.2
2009,19095,7.6
2009,19097,10.6
2009,19099,10
2009,19101,15.4
2009,19103,16.6
2009,19105,9.5
2009,19107,12.1
2009,19109,10.1
2009,19111,14.9
2009,19113,9.5
2009,19115,10.9
2009,19117,16.7
2009,19119,8
2009,19121,8.5
2009,19123,13
2009,19125,9.2
2009,19127,12.6
2009,19129,9.1
2009,19131,9
2009,19133,12.2
2009,19135,12.9
2009,19137,14.5
2009,19139,12
2009,19141,9.4
2009,19143,9.2
2009,19145,15.1
2009,19147,11
2009,19149,7.2
2009,19151,10.5
2009,19153,10.9
2009,19155,13.1
2009,19157,12.6
2009,19159,15.6
2009,19161,11.8
2009,19163,12.5
2009,19165,9.1
2009,19167,7.1
2009,19169,17.3
2009,19171,10.5
2009,19173,14.2
2009,19175,14.2
2009,19177,17.8
2009,19179,16.7
2009,19181,7.2
2009,19183,10.9
2009,19185,16.6
2009,19187,15
2009,19189,10.7
2009,19191,10
2009,19193,14.7
2009,19195,9.2
2009,19197,10.2
2009,20000,13.2
2009,20001,16.2
2009,20003,13.9
2009,20005,15
2009,20007,11.9
2009,20009,14
2009,20011,17.5
2009,20013,16
2009,20015,9.3
2009,20017,14.6
2009,20019,15.8
2009,20021,18.4
2009,20023,13
2009,20025,12.6
2009,20027,11.5
2009,20029,14.2
2009,20031,11.2
2009,20033,10.3
2009,20035,15.7
2009,20037,19.5
2009,20039,13.6
2009,20041,9.9
2009,20043,13.4
2009,20045,21.7
2009,20047,11.9
2009,20049,19.3
2009,20051,12
2009,20053,12
2009,20055,15.3
2009,20057,14.4
2009,20059,11.2
2009,20061,11.4
2009,20063,11.4
2009,20065,12.4
2009,20067,10.3
2009,20069,9.1
2009,20071,10.5
2009,20073,17
2009,20075,12.5
2009,20077,14.4
2009,20079,10.5
2009,20081,10.9
2009,20083,10.1
2009,20085,10.9
2009,20087,8.9
2009,20089,12.8
2009,20091,6.8
2009,20093,12.2
